# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 01:35:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_data_2.json
# init = 2 (Default)
# random
#   seed = 1273692845 (Default)
# output
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-112-g06679e7e
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03357
# Diagonal elements of inverse mass matrix:
# 0.383605
-7.69217,0.984063,1.03357,2,3,0,7.8226,0.289703
-7.63899,0.91746,1.03357,2,3,0,8.23927,0.327853
-7.6401,0.90956,1.03357,2,3,0,8.15494,0.324907
-7.7924,0.746631,1.03357,2,3,0,9.2196,0.261045
-7.77339,0.964777,1.03357,2,3,0,8.11239,0.406212
-7.7034,0.980265,1.03357,1,3,0,7.91869,0.285511
-8.02773,0.965713,1.03357,2,3,0,8.05071,0.458707
-7.94601,1,1.03357,1,1,0,8.07952,0.444443
-9.95659,0.680192,1.03357,2,3,0,9.9566,0.103171
-7.69875,1,1.03357,2,3,0,9.72105,0.287195
-7.69659,1,1.03357,1,1,0,7.71284,0.288004
-7.74626,0.987731,1.03357,1,1,0,7.75263,0.272319
-7.84433,0.976903,1.03357,1,1,0,7.8543,0.250433
-7.72996,1,1.03357,1,1,0,7.82239,0.276928
-8.3448,0.890847,1.03357,1,3,0,8.36997,0.18857
-8.0267,1,1.03357,1,1,0,8.3076,0.222238
-9.1533,0.71966,1.03357,1,3,0,10.3098,0.582811
-7.74181,1,1.03357,2,3,0,9.1077,0.273538
-7.97004,0.980312,1.03357,2,3,0,7.97123,0.448811
-7.65894,1,1.03357,1,3,0,7.88746,0.36143
-7.67131,0.923317,1.03357,2,3,0,8.07048,0.298959
-7.67137,0.991138,1.03357,2,3,0,7.7493,0.298926
-7.65189,0.922273,1.03357,2,3,0,8.14174,0.356119
-7.71748,0.848424,1.03357,2,3,0,8.48168,0.280767
-7.75245,0.997148,1.03357,2,3,0,7.76553,0.27067
-7.98284,0.947647,1.03357,1,1,0,7.98402,0.228134
-8.55811,0.963511,1.03357,2,3,0,8.56022,0.171477
-7.75988,0.995151,1.03357,1,3,0,8.41549,0.268754
-7.7177,1,1.03357,1,1,0,7.76145,0.280696
-7.8783,0.952638,1.03357,2,3,0,8.11152,0.244304
-7.6386,0.99853,1.03357,2,3,0,7.88116,0.32935
-7.64217,0.999239,1.03357,1,3,0,7.64224,0.321234
-8.75294,0.770996,1.03357,2,3,0,9.30228,0.547464
-7.68897,0.983812,1.03357,1,3,0,8.85343,0.290982
-7.65858,0.989196,1.03357,2,3,0,7.768,0.361184
-7.68866,0.894295,1.03357,2,3,0,8.22694,0.29111
-7.82059,0.967953,1.03357,1,1,0,7.82073,0.255069
-8.66904,0.869245,1.03357,1,3,0,8.69368,0.163699
-8.72756,0.990291,1.03357,1,1,0,8.92097,0.159845
-8.6491,1,1.03357,1,1,0,8.8984,0.16505
-8.01666,1,1.03357,1,1,0,8.52578,0.223551
-7.68988,0.999227,1.03357,1,3,0,7.94551,0.290615
-7.82472,0.98811,1.03357,2,3,0,7.82631,0.41927
-7.92611,0.969932,1.03357,1,1,0,7.96414,0.440698
-8.36335,0.874904,1.03357,1,1,0,8.3957,0.505604
-7.72334,0.877246,1.03357,2,3,0,9.16181,0.390879
-8.77894,0.682886,1.03357,1,3,0,9.57088,0.156588
-9.21625,0.935258,1.03357,1,1,0,9.32625,0.132766
-8.47429,0.837018,1.03357,1,3,0,11.2032,0.518527
-9.3766,0.760707,1.03357,1,1,0,9.50466,0.600223
-8.6354,1,1.03357,1,1,0,9.34159,0.53579
-7.63933,1,1.03357,1,3,0,8.46632,0.339906
-7.78381,0.960883,1.03357,1,3,0,7.82965,0.262984
-8.09242,0.932233,1.03357,1,1,0,8.09309,0.214128
-7.75654,0.995928,1.03357,1,3,0,8.01505,0.269608
-7.64549,0.823472,1.03357,2,3,0,9.05642,0.317008
-7.64549,0.256206,1.03357,2,3,0,13.199,0.317008
-7.65474,0.929038,1.03357,2,3,0,8.07769,0.308882
-7.95449,0.93596,1.03357,1,3,0,7.97907,0.232192
-7.96821,0.997006,1.03357,1,1,0,8.03989,0.230202
-8.14509,0.963336,1.03357,1,1,0,8.18411,0.208146
-7.68724,0.964745,1.03357,1,3,0,8.3305,0.376788
-7.83785,0.910171,1.03357,2,3,0,8.18852,0.422319
-8.16212,0.906305,1.03357,1,1,0,8.18228,0.479266
-7.92636,0.784412,1.03357,2,3,0,9.45421,0.440746
-7.80411,0.866694,1.03357,2,3,0,8.67906,0.414267
-7.66037,0.971381,1.03357,2,3,0,7.98724,0.362392
-9.05307,0.633069,1.03357,1,3,0,9.77551,0.140937
-8.68626,1,1.03357,2,3,0,9.1082,0.162548
-9.29379,0.910152,1.03357,1,1,0,9.35993,0.129132
-10.0188,0.970752,1.03357,2,3,0,10.1248,0.101116
-10.7663,0.975473,1.03357,2,3,0,10.9301,0.0800883
-8.74828,0.953736,1.03357,1,3,0,10.5102,0.158518
-7.68044,0.942781,1.03357,1,3,0,9.03467,0.373616
